purchase_external_id,position_external_id,item_name,offer_title,offer_url,seller_name,region,unit_price,available_quantity,delivery_price,delivery_days,is_relevant,relevance_score,comment
10207839,,ТОВАРЫ СТРОИТЕЛЬНЫЕ,ТОВАРЫ СТРОИТЕЛЬНЫЕ — коммерческое предложение 1,https://example.com/mos-portal-10207839-1,ООО Поставщик 1A,Москва,15640.00,1,700,5,true,0.96,manual NMC import
10207839,,ТОВАРЫ СТРОИТЕЛЬНЫЕ,ТОВАРЫ СТРОИТЕЛЬНЫЕ — коммерческое предложение 2,https://example.com/mos-portal-10207839-2,ООО Поставщик 1B,Москва,17020.00,1,900,5,true,0.93,manual NMC import
10207838,,ТОВАРЫ СТРОИТЕЛЬНЫЕ,ТОВАРЫ СТРОИТЕЛЬНЫЕ — коммерческое предложение 1,https://example.com/mos-portal-10207838-1,ООО Поставщик 2A,Москва,496400.00,1,700,5,true,0.96,manual NMC import
10207838,,ТОВАРЫ СТРОИТЕЛЬНЫЕ,ТОВАРЫ СТРОИТЕЛЬНЫЕ — коммерческое предложение 2,https://example.com/mos-portal-10207838-2,ООО Поставщик 2B,Москва,540200.00,1,900,5,true,0.93,manual NMC import
10207840,,ТОВАРЫ СТРОИТЕЛЬНЫЕ,ТОВАРЫ СТРОИТЕЛЬНЫЕ — коммерческое предложение 1,https://example.com/mos-portal-10207840-1,ООО Поставщик 3A,Москва,3300949.40,1,700,5,true,0.96,manual NMC import
10207840,,ТОВАРЫ СТРОИТЕЛЬНЫЕ,ТОВАРЫ СТРОИТЕЛЬНЫЕ — коммерческое предложение 2,https://example.com/mos-portal-10207840-2,ООО Поставщик 3B,Москва,3592209.65,1,900,5,true,0.93,manual NMC import
10207841,,ТОВАРЫ СТРОИТЕЛЬНЫЕ,ТОВАРЫ СТРОИТЕЛЬНЫЕ — коммерческое предложение 1,https://example.com/mos-portal-10207841-1,ООО Поставщик 4A,Москва,136621.79,1,700,5,true,0.96,manual NMC import
10207841,,ТОВАРЫ СТРОИТЕЛЬНЫЕ,ТОВАРЫ СТРОИТЕЛЬНЫЕ — коммерческое предложение 2,https://example.com/mos-portal-10207841-2,ООО Поставщик 4B,Москва,148676.65,1,900,5,true,0.93,manual NMC import
10207837,,"ТОВАРЫ ХОЗЯЙСТВЕННЫЕ, ТЕХНИКА БЫТОВАЯ","ТОВАРЫ ХОЗЯЙСТВЕННЫЕ, ТЕХНИКА БЫТОВАЯ — коммерческое предложение 1",https://example.com/mos-portal-10207837-1,ООО Поставщик 5A,Москва,200734.88,1,700,5,true,0.96,manual NMC import
10207837,,"ТОВАРЫ ХОЗЯЙСТВЕННЫЕ, ТЕХНИКА БЫТОВАЯ","ТОВАРЫ ХОЗЯЙСТВЕННЫЕ, ТЕХНИКА БЫТОВАЯ — коммерческое предложение 2",https://example.com/mos-portal-10207837-2,ООО Поставщик 5B,Москва,218446.78,1,900,5,true,0.93,manual NMC import
